스킬ID,스킬
32695,{{이름}}의 사주로 본 인연은 몇월생일까?
31109,그 사람 내게 원하는게 뭘까?
-,[스킬 정보 없음] 블록: 정식하반기_사전예약설명 (블록 ID: 548395)
30879,그 사람은 얼마큼 나를 좋아할까?
37288,"핵심 💘 연락 시기: 그 사람 언제 연락올까?😍 연락시기와 연락할 때의 마음까지 알려드려요 (1카드, 1200자)"
34538,연락 언제 올까? + 재회 가능성 풀이
25779,우리 두 사람 재회 할 수 있을까?
21669,[행운 룰렛] 2022년 하반기 솔로탈출시기
38238,일주 궁합 관계도 4인 패키지
28385,"3개월 안에, 연애운이 들어올까? ❤️"
-,[스킬 정보 없음] 블록: 오늘의 연애 행운룩_광고 (블록 ID: 1498574)
32888,❤️그사람 날 연애상대로 어떻게 생각할까?🔮
36256,"오늘🤗재회운❤️: 운명에 새겨진 오늘 그 사람과의 재회운 😍연락올까 재회될까❤️‍🔥? #솔로 #썸 #커플 #짝사랑 #이별 모두 (1카드, 1500자, 45하트)"
26351,이성이 느끼는 나의 치명적인 매력은?
30287,200% 인생반전 타고난 능력 높이는 방법
28976,곧 시작 될 나의 대운은?#개운법
25404,다음 연애의 모든 것#새인연
2295,부모님이랑 왜 부딪칠까
34713,"[총4000자] 주변사람들이 보는 나의 이미지와 매력 그리고 나에대한 속마음... 그들이 나에게 해주고 싶은말, 카드의 운명적인 메시지..."
32975,그 사람은 내 생각을 얼마나 할까?
33267,경력이직 최적의 타이밍
28373,"재회, 우리 다시 만날 수 있을까"
36223,"그 사람, 날 좋아할까?#커플성공확률"
27410,그 사람과 더 가까워질 수 있을까? (10카드)
35369,🤔도대체 그 사람은 나에게 어떤 맘일까?
28763,"올해 여름, 이 사람이 나에게 고백한대요 ❤️"
33594,그 사람의 숨겨진 진실과 진짜 속마음
30187,그 사람과 나는 어떻게 될까?
30284,내 사랑이 이루어지는 시기⏳
36716,이 사람과는 무조건 사귀게 될 것이댱!
26151,그 사람은 날 어떻게 생각할까?
-,[스킬 정보 없음] 블록: 매력 지수 과금 의사 (블록 ID: 306210)
33491,그 사람과 나의 연애 흐름은 어떻게 될까?
-,[스킬 정보 없음] 블록: 오늘의운세_한번만 (블록 ID: 547211)
-,[스킬 정보 없음] 블록: 스킨십_할인인트로 (블록 ID: 420002)
31204,지금 날 좋아하는 사람 누굴까?
34281,연락 왜 없을까 + 재회하면 어떨까?
29758,그 사람이 너에게 전하고 싶은 말
28540,"나에게 들어올, 6월 연애운 ❤️"
19074,気になるあの人の本音が知りたい！
56581,{{이름}}님 관상에 보이는 결혼수: 상대 & 시기_패키지
35873,"크리스마스🎄연애운: 내 곁에 있어줄 사람은 내가 생각하는 그 사람? 새로운 사람? 어떤 사람일 지 알려드려요 (5카드,7500자) #커플 #썸 #짝사랑 #재회 모두 가능"
26240,"(추천할인) 내 사주로 월 1,000만 원 버는 부업은?"
29194,사주로 풀이하는 연애운
26183,그 사람은 나를 어떤 사람으로 생각할까?
56746,"연말로맨스: 올해가 지나기전 만날 내 인연?(4카드, 7800자)
#연말연애운 #겨울연애운 #새로운연애 #재회 #썸붕 #짝사랑"
26249,나의 결혼상대자
25851,지금 생각하는 그 사람의 진짜 속마음은?
30031,그 사람도 나와 같은 감정일까?
26320,이 사람은 나와 결혼하고 싶어할까?
33383,{{이름}}의 사주 속 미래 배우자 직업은?
33384,새로운 연인이 생겼을까? 그사람과 안 헤어질까? 나와의 관계는 어떻게 될까?💌 #속마음
56647,2026년 커플 관계 보고서
-,[스킬 정보 없음] 블록: 연할말_결과전최초후_스스 (블록 ID: 1497658)
32791,그 사람도 나를 좋아하고 있을까?
26459,그 사람 다시 만나도 괜찮을까요?
25495,"그사람과 나, 인간관계 궁합이 궁금해!"
25596,이성에게 어필되는 나의 특별한 매력✨
27216,1달 연애운 : 이번 달 만나게 될 내 운명은?
26115,[내일의 운세] 매일 보는 내일의 운세
35283,곧 나에게 앞뒤없이 직진할 사람
2415,2020년 솔로탈출 시기
36484,"오늘🤗연락운❤️: 궁금한 그 사람 😍❤️‍🔥 오늘 연락올까? 어떤 마음으로 올까? #솔로 #썸 #커플 #짝사랑 #이별 모두 (1카드, 2600자, 40하트)"
32135,당신이 궁금했던 그 사람의 속마음
-,[스킬 정보 없음] 블록: 2022신년운세_직장운부적_무료 (블록 ID: 573683)
34333,🌃이 밤 그 사람한테서 편지가 왔습니다.🌃✉️🎀#샐리타로
37012,[깜짝 타임세일] 사주로 보는 미래: 나는 언제 출세할까?
34693,"짝사랑 조언: 속마음, 관계, 미래 흐름"
33223,"지금, 당신에게 관심을 보이고 있는 그 사람은? #연인"
32114,즉문즉답🔮YES or NO
33623,그 사람과 나에게 어떤 운명이 기다릴까?
33630,11카드: 재회 원할까 + 앞으로 할 행동
31473,특히 ㅇㅇ할 때 {{이름}}님이 너무너무 보고 싶대요💕
26555,드라마처럼 운명의 상대를 직감하는 순간
27449,주변 사람들이 보는 나 + 주변 이성들이 보는 나
35100,[깜짝 타임세일] 2024년 신년운세 보고서
29323,"그 사람, 나에게 어떤 감정일까?"
-,[스킬 정보 없음] 블록: 솔탈보고서_할인인트로 (블록 ID: 419954)
26132,그 사람은 나를 어떤 이미지로 볼까?
43852,[페이백] [1~5단계] 재회 코칭 프리패스
30550,내 운명의 짝은 누구?#결혼운
25980,"그 사람과 나, 다시 만날 수 있을까?"
55129,연애 끊이지 않는 관상: 도화&홍염
25442,지금 내게 꼭 필요한 말은?
36221,평행선(짝사랑)📏📏#디오타로
32524,전xx..아직 내 생각 할까?
34398,하반기 솔로 연애운
33355,"지금, 너도 내가 보고 싶을까?"
26156,그 사람과 나는 어떻게 될까?
26230,너랑 결혼하면 어떨까?#궁합
28765,난 결국 어떤 사람과 결혼하게 될까?!
23092,사주팔자로 알아보는 나의 인생
44041,[특별 페이백] 2024년 하반기 운세 보고서
21338,(트랙킹용) 2022년 하반기 운세 보고서 부적 5개
25855,그 사람과 오래 갈 수 있을까?
36158,"그 사람, 날 좋아하게 될까?"
37989,[깜짝 타임세일] 내 운명의 상대
38962,핵심뉴💘연애운: 새로운 연애 언제 어디서 어떻게 나타날 지! 알려드려요 #새로운연애 #솔로 #싱글 #연애운
22922,90초만에 감정 롤러코스터에서 벗어나는 방법
2218,나에게 잘 맞는 알바는?
29620,그 사람은 나에게 어떤 마음일까?
26358,간단 연락운 : 30일 내로 그 사람의 연락이 올까?
33218,"궁합, 잘 맞을까?"
34601,재회 속마음 + 곧 보일 결정적 행동
30324,나는 그 사람에게 어떤 의미일까?
26356,이 직장 계속 다녀도 될까?
29163,즉문즉답⏰연락운편
30710,[재회운] 너와 내가 다시 만날  수 있을까?
30086,그 사람은 나에게 어느 정도 호감이 있을까?
25775,그사람 재회운
25465,지피지기 백전백승 그사람공략법! 💯
36440,그 사람과 나의 궁합(겉궁합/속궁합) 🤴🏻👸🏻#타로라포
30876,💗그 사람의 마음 속 진심을 알려드릴께요. #데아타로
25693,나의 운명은 언제 나타날까? 새로운 인연운
31867,그 사람의 (진짜) 진심은 무엇일까요?❓❗#샐리타로
31470,그 사람과 언제 다시 만날 수 있을까?
16435,지금 날 좋아하는 사람은+연애운 높이는 법
28864,그 사람도 내가 보고싶을까?
26142,그사람은 나를 그리워 할까? 다시 만날 수 있을까?
36147,"그 사람은 ""연애상대📍""일까? ""결혼상대💍"" 일까? #수월화타로"
11275,가족과 잘 지내는 법
33232,앞으로 너에 대한 그 사람의 감정 변화를 알려줄게!
26377,그 사람 진단서 ✍️📄
26002,곧 내맘을 뜨겁게 안아줄 새로운 인연은?
36522,현재 썸을 타는 당신의 미래를 알려드려요.💋💍#팩트폭력
18792,2021 태양궁/상승궁 신년운세 + 올해의 카드
32099,"바로 지금, 그 사람은 나에게 호감을 느낄까?"
31607,"그 사람은 내 생각 언제, 얼마큼 할까?"
29026,2023년 하반기 연애운♡
33621,그 사람은 나와 어떻게 하고 싶을까?
25826,짝사랑 상대가 날 어떻게 생각할까? 그 사람의 진짜 속마음은?
25074,(추천 할인)내 아이의 타고난 결혼운: 어떤 사람을 데려올까?
28384,"그 사람, 요즘도 내 생각할까? ❤️"
25957,간단 썸 연애운 : 30일 내로 썸이 연애로 이어질까?#썸 #연애 #연애운
39388,"시험, 합격 발표 좋을까? 빨리 나올까?"
33151,"그 사람은 나에게 언제, 어떤 모습으로 다가올까?"
39158,"[24년 삼일절 연휴] 내 사주로 월 1,000만 원 버는 부업은?"
39327,(업셀링_결혼OX궁합) 내 운명 지금 어디 있을까?
33593,[짝사랑] 나를 몰래 지켜보는 사람..! 누굴까?
19259,[할로윈 프로모션] 살풀이: 타고난 살과 2022년의 살
32973,그 사람에게 당신은 어떤 의미인지 알려줄게요!
31810,헤어진 그사람 다시 만날 수 있을까?
26017,기다리는 연락이 올까?
25997,나의 새로운 연애 상대는 누구일까? 어디서 만날 수 있을까?
36438,"다시, 사랑하게 될까요? #재회운"
42391,너는 왜 그랬을까? 숨은 의미
35012,넌 언제쯤 나에게 연락할거니?(재회운) 📞✉️📧#타로샐리
38237,일주 궁합 관계도 3인 패키지
35219,[재회운] 다시 만나야만 합니다🙏왜 나에게 헤어지자고 말했나요? 나에 대한 미련은 없나요?
32966,{{이름}}에게 맞는 사주속 연애 시기는?
33283,🍀내 고민 어떻게 해결될까?✨
29884,🍏  이직운 궁금해! 🍏
33633,나를 향한 그 사람의 감정과 앞으로 행동은 어떨까?
29199,걔도 지금 나 보고 싶을까? | 그대들의 센세
33054,[재회운] 우리 다시 만날 수 있을까?🥂
32756,그 사람이 나에게 보여주지 않은 속마음은 뭘까?
32660,[결혼운]나의 미래배우자는 과연 어떤 사람일까?!
26353,내가 좋아하는 그 사람의 속마음을 알 수 있을까?
29918,그 사람은 나에게 어떤 행동변화가 있을까?
26815,그 사람과의 운명은 어디로 향하게 될까?
26334,"지금 이 순간, 나에 대한 속마음"
29689,"이번에 재회한다면, 잘 만날 수 있을까? ❤️"
34142,10카드: 연락 언제 올까? + 재회 속마음
34319,그 사람 진짜 속마음과 앞으로의 행동
39786,[기간세일] 2024년 갑진년 신년운세 [통합편]
26464,나의 대인관계는 어떻게 흘러갈까?
28541,그 사람의 나에 대한.. 미련지수는? ❤️
39883,"그사람의 머릿속, 나에 대한 생각들은? 🩷💚"
31636,❤️언제쯤 애인이 생길까요?🔥🔥 #연애시기 #썸 #데아타로
30548,그 사람의 숨겨진 감정은 뭘까?
33622,그 사람은 나에게 어떤 행동을 할까?
27874,나에게 다가올 새로운 연인의 모습은? [솔로 연애운]
33624,"지금, 그 사람은 나에게 호감이 있을까?"
26295,간단 싱글운: 30일 내로 연인이 생길까?
32030,"지금, 그 사람도 나와 같은 마음일까?"
33451,너가 궁금했던 그 사람의 속마음은 이거야!
32132,그 사람은 재회 할 마음이 있을까요??🧡🙏#셀리타로
26155,곧 다가올 {{이름}}님의 새로운 인연은?
41104,"(추천할인) 내 운명의 연애, 몇 번 남았을까?"
33225,재회운🌙우리 다시 사랑할 수 있을까?
33613,"날 좋아하는 사람 + 솔탈 언제, 누구와?"
26001,당신의 새로운 인연을 소개해 드릴게요
34064,그 사람과 앞으로 어떻게 될까?
2164,2021년 신년운세
26149,[재회운] 우리 다시 만날 수 있을까?
33526,🌸이순간 상대방은 어떤 생각을 할까?(3000자~)🌸#타로라포
35867,지금 나를 몰래 생각하는 그사람은 누구? [총4000자]
26270,이성이 느끼는 나만의 독보적인 매력은?
-,[스킬 정보 없음] 블록: [새로고침패키지]헤어진사람+다음연애1_스스인트로 (블록 ID: 571415)
26026,몰래 내 SNS를 염탐하는 사람은 누구?
26281,선택 타로: 이 사람 계속 만나도 될까? | 유히로
34348,❤️솔탈! 누구와 어떤 연애를 하게될까?😘
32526,그 사람도 나와 같은 감정을 느낄까?
22098,[궁합 쿠폰 전용] 그 사람과 나의 결혼궁합
33631,너만 모르는 그 사람의 진심
18301,{{이름}}[[이의/의]] 9월 종합운
32195,그 사람에게 나는 어떤 의미일까?
34937,"16카드: 속마음과 곧 보일 행동, 두 사람 미래는?"
31803,💰🛕나에게 곧 다가올 대박 금전운은?  #아이비스타로#금전운
30154,그 사람의 진심 -이별 편-
27970,지금 생각나는 그 사람의 진짜 속마음을 알고싶어!
26337,전 연인 붙잡으면 돌아올까?
37016,당신에게 숨긴 그 남자의 속마음🍷🍺#팩트폭력
30679,[얼리버드] 그 운명의 러브 판타지
20315,(추천할인) 그 사람과 나의 연애 궁합 어떨까?
26297,재회에 대한 상대방의 속마음이 궁금해!! #재회운
31930,대박운이 다가옵니다. 꼭 확인하세요!!🧧💸❤️
19041,次の恋、いつどこでどんな風に始まる？
17344,성격궁합 보고서
33519,"그 사람, 왜 연락 안 할까?"
30907,요즘 날 몰래 좋아하고 있는 사람이 있을까?!
29756,"그 사람, 먼저 연락 해올까?"
42424,내가 짝사랑🩷하는 그 사람의 속마음과 미래는?
33123,썸타고 있는 그 사람의 속마음과 앞으로의 관계 흐름💖
36098,그 사람과 나의 궁합은?
39328,(업셀링_결혼OX궁합) 도화살 결혼운: 나는 결혼하면 잘 살까?
37342,"총15장!! 2024년 1~12월별운세, 액운, 대운, 연애운까지!! [총15,000자] 갑진년, 청룡의 해 새해운세 이거 하나면 됩니다."
26190,지금 이 순간 너의 진짜 속마음 꿰뚫기⚡️
2341,이번 여행운은 어때?
27378,결혼 OX 궁합: 이 사람과 결혼해도 될까?_결제
33614,속마음 3가지 + 1년뒤 관계는?
34710,[총4000자] 이미 점지되어진 운명적인 인연의 성향과 두사람의 이야기 🙏
32393,[재회운] 그대와 다시 시작할 수 있을까?
25661,내가 좋아하는 상대가 나를 원하게 하는 방법
26468,우리는 어떤 인연일까?
39322,[깜짝 타임세일] 그 사람과 나의 결혼 궁합 + 속 궁합
28139,지금 날 진정 좋아하고 있는 사람이 있을까?
25787,궁금한 그 사람의 속마음은?
43877,[특별페이백] 사주로 보는 결혼 : 그 사람의 본심 👤
25174,그 사람 지금 내 생각 하고 있을까?
31271,지금 그 사람도 내가 보고 싶을까?
32928,{{이름}}님의 마음을 흔드는 그 사람의 속마음🌙
32364,"😍내가 좋은 이유: 그 사람이 날 좋아하는 이유- 긍정적인 면, 부정적인 면👩‍❤️‍👨앞으로의 관계운까지 #커플 #짝사랑 #썸 #이별 #재회까지 (7카드, 8500자)"
33493,[속마음] 알다가도 모를 그 사람...현재 무슨 생각을 하고 있는걸까?😞😞 #샐리타로
35708,🌸나에게 다가올 연락운과 재회운은?🌸#타로라포
19363,2022년 신년운세 보고서(LITE 인트로 전환)
27117,"지금 이 순간, 당신을 좋아하고 있는 사람❗"
34312,"그대의 운명, 그사람의 운명, 우리 둘의 운명은?"
43086,[히든스킬] 2024년 하반기 운세 보고서
34702,재회운: 그 사람도 내 생각 할까?
33625,앞으로 그 사람과 나의 연애운은 어떨까?
38470,그 사람 먼저 연락을 해 올까?
33620,"계속 좋아하면 어떻게 될지, 짝사랑 조언"
31806,💔❤그사람 다시 만날수 있을까요?(재회운) #데아타로
29202,다가올 인연의 외모·성격·직업은? | 그대들의 센세
31908,[재회운] 우리 다시 시작할 수 있을까?
26363,지금 그 사람 어떻게 지내고 있을까?
-,[스킬 정보 없음] 블록: 팔자무게_계산완료_광고 (블록 ID: 1680953)
31609,나에 대한 너의 솔직한 감정을 알고싶어
46681,"💘연애시기운🐈 : 운명의 인연 언제 들어올까?솔로 탈출하는 날짜!  1카드, 3000자 / 명확하게 내 연애가 시작될 그 시기만 똑부러지게 알려드려요 😸💜"
38142,"[깜짝 타임세일] 다음 연애 언제, 어디서 시작될까?"
25856,나의 새로운 사랑은 언제 싹틀까?
35627,지금 그 사람의 속마음
34439,미운 그사람의 속마음... 나에게 돌아오게 하려면? 그리고 그사람은 연인이 있을까요? 우리는 어떻게 될까요?
32460,💖이성들이 끌려하는 나의 매력은?
31800,🌹그사람에게 내마음을 고백해도 될까요? #짝사랑 #디오타로
25973,새로운 인연 만날 수 있을까?
26056,먼저 다가갈까? 기다릴까...?
22228,[CRM 히든] 오행五行으로 보는 성격 특징
31140,🌸결국 나를 사랑하게 될 그사람 🌸  #속마음
31072,타인이 보는 나의 이미지는?
29919,그 사람은 나와 함께 사랑할 계획을 갖고 있을까?
35894,우리가 다시 만날 수 있을까?
34776,🤞내게 반드시 다가올 행운!🍀
30676,[얼리버드] 내 운명의 숨겨진 방향성
-,[스킬 정보 없음] 블록: 살풀이_보강_무료부적 (블록 ID: 537826)
24637,나는 부자가 될 가능성을 가지고 있을까?
43645,"그 두 사람, 언제 헤어질까? 누가 더 좋아할까?"
36420,[깜짝 타임세일B] 내 사주 속 최고의 겉궁합 VS 속궁합 상대는?
26326,올해 연애운이 어떨까?
39355,그 사람과 나의 인연은 어디까지일까?(3700자이상)❤️🤔 #타로라포
33220,그 사람이 숨겨왔던 속마음을 얘기해 줄게요!
-,[스킬 정보 없음] 블록: 3카드이직_할인인트로 (블록 ID: 420378)
28269,나에게도 연인이 생길까?
28865,너의 속마음을 알고 싶어❕
19174,2학기 성적 어떻게 될까?
22459,[CRM 히든] 3개월 안에 애인
31807,"[직장운] 지금 다니는 직장, 일을 계속 해야할까?"
39334,(업셀링_인생역전) 타고난 부: 내 사주로 평생 모을 재산은?
28270,그 사람은 날 어떻게 생각하고 있을까?
-,[스킬 정보 없음] 블록: 정식하반기_금전운부적_무료 (블록 ID: 552711)
38563,[속마음&재회] 카톡켜고 고민하는 그사람의 진심
33184,연상?연하?내 운명의 상대는?
32294,[인연운] 나를 곧 좋아하게 될 사람❗
34700,"😍beloved: 나를 아낌없이 사랑해주는 이 있을까?🍒그 사람일까? 누구이고 어떤 사람일까? 나에 대한 이미지, 감정, 앞으로의 관계운,시기 조언까지 (6카드 8300자)"
-,[스킬 정보 없음] 블록: 너혹시나좋아해_횟수초과 (블록 ID: 1503143)
30808,2025 하반기 솔로 연애운
19525,"2022년의 인연, 언제 어떻게 찾아올까? (하바별타 할인전용)"
34393,"이별, 만남 그리고 재회 속마음"
42230,"간단 이직운 🗂️ 한 달 내로 이직할 수 있을까? 이직 가능여부와 된다면 만족도는 어떤 지까지!(1카드,3400자)"
33634,그 사람과 이때 관계 변화가 있을거예요!
26339,내게 퐁당 빠진 이성은?
39916,"구페 vs 뉴페 💚 재회 vs 새로운 인연 🩷 어떻게, 언제? 다가올까?"
36665,재회의 마음이 있을까?
26065,그 사람의 진짜 속마음
32999,요즘 {{이름}}님을 몰래 좋아하고 있는 사람🌙
34692,그 사람 4가지 진심 + 곧 보일 행동은?
29198,이별 실감: 우리가 헤어진 진짜 이유 | 그대들의 센세
39592,[깜짝 타임세일] 솔로탈출 패키지: 솔탈확률 + 3개월 연애운
26369,"[챠미타로] 그 일(연애, 직장, 학업)의 결과는 어떻게 될까?"
36140,3개월 내에 찾아올 나의 인연은? [총4000자]
26367,나의 재물운은 언제가 가장 전성기일까? 💰
31039,알고 싶은 그사람 속마음_ 나에게 바라는 것
36631,[본 스킬] 3개 구매자 추가 할인
32992,23년 하반기에 일어날 수 있는 일
-,[스킬 정보 없음] 블록: 손금_왼손감정선_결과전광고 (블록 ID: 1500191)
28181,걔는 나를 연애 상대로 볼까? | 그대들의 센세
32157,자꾸 생각나는 그 사람의 속마음🌙
26400,내 SNS 염탐할까?
-,[스킬 정보 없음] 블록: 3카드썸_시작_추천연결스킬 (블록 ID: 419978)
28598,나의 하반기 운세는?
-,[스킬 정보 없음] 블록: 정식하반기_인트로_스스미로그인_할인 (블록 ID: 552635)
26366,그 사람이 연락이 없는 진짜 이유
23850,감정 카드: 색으로 보는 오늘 내 기분은?
39785,[기간세일] 2024년 신년운세 보고서
49981,[히든 할인] 2025 을사년 운세: 사랑과 인연
31866,그사람의 속마음을 알고싶어요...🔑🧡#데아타로
38236,일주 궁합 관계도 1인 패키지
35991,재회운: 숨겨진 진심과 재회 가능성
36663,나 이직해도 괜찮을까?
26551,❤️난 살면서 몇번의 연애를 하게 될까?
-,[스킬 정보 없음] 블록: 살풀이2022_보강_무료부적 (블록 ID: 569947)
39818,이직할까? 그냥 이 직장 다닐까?
33153,100% 정확한 상대의 속마음 사주풀이
32958,재회운...💜그 사람이 진짜 내게 하고 싶었던 말이 있었을까? 💜#수월화타로
37805,우리 인연 아직 남아있을까?
25972,그 사람의 속마음을 알고 싶어요!
25962,3개월 이내에 나타날 새로운 인연은?
34738,"다시 만날 수 있을까? 그사람은 도대체 뭘 원하고, 어떻게 행동할까?"
33524,그 사람이 나에게 표현하지 못한 감정은 뭘까?
25069,내 아이의 결혼운: 어떤 사람을 데려올까? (연속구매 할인)
25444,"2023년, 당신이 만날 수 있는 최상의 인연💗"
33601,"매일 내 프로필을 보는, 그 사람 누굴까?"
26603,"앞으로 3개월, 나는 솔로탈출 할 수 있을까?"
18301,{{이름}}[[이의/의]] 11월 종합운
35700,이별 재회운: 그 사람 재회 속마음
28367,그 사람은 나에게 어떤 감정일까?
32369,나를 짝사랑하고 있는 사람이 있을까?
31637,⚠ 직장에서 곧 생길 일 !
23157,그 사람의 속마음 | 김밀구
36133,[깜짝 타임세일] 월지로 보는 인연: 배우자가 될 3명의 후보
2344,분노조절지수 진단
26202,그사람 속마음
-,[스킬 정보 없음] 블록: 행운색 최초후 인트로 (블록 ID: 433332)
34119,계속 좋아해도 될까 + 앞으로 행동은?
40378,내가 짝사랑하는 상대방은 나를 좋아할까요?(3000자~)
30185,세상에 지친 당신을 위한 마음을 위로하는 하반기 운세
25964,그 사람 진짜 속마음이 뭘까?
18940,슬픔극복어쩌고
27707,우리 두 사람의 결혼가능성과 궁합은?
35109,🌸상대방은 앞으로 나에게 어떻게 할까?🌸#타로라포
29800,그 사람은 나를 어떤 의미로 생각할까?
38234,❤️현재 날 좋아하는 상대방은 다가와 고백할까요?(3600자이상)❤️💑 #타로라포
27937,[결혼] 행복한 나의 결혼 생활과 결혼운이 좋은 시기까지 살펴보기💖
32465,나에게 곧 찾아올 연애운 (솔로)
25408,새로운 인연
32922,그 사람과 나의 3가지 미래
24751,[협력유통] 2023년에 솔로 탈출할 수 있을까? | 타로아델
30319,[프로모션] 결혼 OX 궁합 + 나는 결혼해도 되는 사주일까?
26102,애매한 너의 마음 딱 알려줘📴
34579,"16카드: 그 사람과 나의 변화, 앞으로의 흐름"
40312,"너에게 차단된 나, 그래도 난 네가 잘 지내는지 궁금해.속마음타로"
34280,그 사람이 하게 될 행동과 3개월 뒤 관계
27972,💞1주일 연애운: 이번 주 만나게 될 내 운명? #속마음#관계운#조언(3카드)
30116,한 달 안에 일어날 일들
38068,"구페🔥뉴페中선택! 내 앞으로의 인연, 뉴페이스일까 구페이스일까? 딱 정해드려요!"
29161,"앞으로 4주중, 연락운이 높은 시기 ❤️"
33492,"그 사람, 다시 만날 수 있을까?"
33487,재회 가능성: 그 사람의 진짜 진심
33322,"그 사람, 나에게 어떤 행동을 할까?"
27871,이 사람과 결혼 해도 될까요?
29998,사주로 보는 연애운: 내 사주의 꽃말과 연애 전략은?
34308,[사주 상담] 본성·적성·운명 탐구
35176,내 운명 지금 어디 있을까? | 오지은
35010,짝사랑: 그 사람 진심과 끝나는 시기
31145,이성을 유혹하는 나의 매력
31468,나 좋아해?
-,[스킬 정보 없음] 블록: 월별운세_인트로(2022)_추천할인 (블록 ID: 573741)
29158,주위에 날 좋아하는 사람이 있을까?
28185,운명의 상대는 어떤 사람인지 봐주께~
26275,나는 앞으로 몇 번 더 연애할 수 있을까? | 유히로
28696,그 사람의 진심 -연애 편-
27479,인연을 만날 수 있는 행운의 장소와 외모!
27382,미리보는 결혼의 맛은?
33520,"연락 없는 이유, 먼저 연락할까?"
33521,그 사람에게 연락해도 될까?
26404,헤어진 그 사람 다시 재회 할 수 있을까?
26028,다음 주 나의 연애운은?
32298,지금으로부터 한달운세
30578,7월의 연애운 💕
27713,"다음 연애 언제, 어디서 시작될까? | 톡신"
26178,[챠미타로] 그사람은 나에 대해 어떤 생각을 가지고 있을까..?
39224,핵심이별운☠️ 우리 이별하게 될 지 알려드려요
33602,지금 격하게 날 좋아하는 사람은?
38141,[깜짝 타임세일] 내 인생 황금기와 암흑기: 사주팔자 풀이
33122,사주로 보는 그의 모든 것
29557,내 결혼운의 모든것
28404,나의 2023년도 연애운 캘린더 ❤️
31138,그 사람이 너에게 꼭 하고 싶은 말
33350,그 사람의 진심과 거짓은?
28533,붉은 실로 연결된 결혼할 그 사람
32968,💙재회타로💙우리 다시 사랑해도 될까❓ #반다타로
32971,자꾸 떠오르는 그 사람의 속마음❕
28898,[2인] 2023년 하반기 운세 보고서
30325,자꾸 생각나는 너의 진짜 속마음을 알고싶어!
21999,[행운의 사다리] 그 사람과 나의 결혼 궁합
19260,[할로윈 프로모션] 2022년 월별 운세
35005,"☃️겨울연애운 : 겨울까지 내 로맨스 어떻게 흘러갈까??어떤 사랑일지, 관계로 나아갈지 (7카드 8999자) #짝사랑 #썸 #싱글 #재회 #커플 모두 포함"
2299,썸테스트 - 우리는 썸일까?
35274,너의 속마음을 내게 알려줘~☘
26494,내게도 사랑이 올까요?
28730,앞으로 연애운의 흐름은?
38267,"그사람의 속마음,진심, 재회의 가능성 ❤️‍🔥❤️‍🔥"
36028,[짝사랑] 그 사람의 솔직한 감정은?
-,[스킬 정보 없음] 블록: 속궁합 인트로 (블록 ID: 132388)
36146,[재회운] 이별과 재회 속마음
33382,{{이름}}님의 설레는 연애가 시작되는 시기💚
34145,그 사람이 감춘 말할 수 없는 비밀
36556,2024년 1월 연애운+속마음
26568,짝사랑 이루어질까? | 레미니씬
30705,그 사람의 진심이 알고 싶다.
26467,나의 다음 연애상대는 누구?
19057,あの人と復縁できる？やり直せる確率
26217,썸 타는 그 사람과 앞으로 어떻게 될까?
31238,"이 순간, 그 사람이 나에게 느끼는 감정은 뭘까?"
30089,"6월 운세: 나의 금전운, 연애운, 총운"
54013,독이 되는 관계: 10카드 스프레드
26133,자꾸 생각나는 그 사람과 이루어질 수 있을까?
32133,그or그녀의 속마음💗🧡❓#디오타로
26124,그의 애정을 얻는 방법
47968,[인기] 내 사주에 쓰인 운명의 배우자
31146,이때 그대의 인연이 다가옵니다.  #데아타로
26379,"내 운명은 비혼, 비연애 일까?"
32131,내 생각 하고 있나요? 재회...💜💙♥️#데아타로
26445,나의 다음 연애상대 미리보기👩‍❤️‍👨
34697,"우리 아직 사랑💜일까? (재회,속마음)  #아이비스타로"
26471,내 주변에 나와 잘 될 인연?
26556,자꾸만 떠오르는 너의 속마음은 뭐니?!
27214,나를 더 사랑하게 만들고 싶은데 어떻게 하면 좋을까?
34999,"재회운 풀이, 아직 날 좋아할까?"
30688,[얼리버드] 미래를 내다보는 인생 설명서
26436,난 어떤 직업이 어울릴까? 나의 진로운은?
31110,그사람 나에게 진심일까?
28795,"또 나만 진심이었을까? (feat. 이별, 연애)"
32661,그 사람이 결국 나에게 못 한말✉️✒️#샐리타로
32392,조만간 나에게 강하게 꽂힐 사람 특징
39520,🌸상대방과 나의 앞으로의 관계흐름(3000자이상))❤️🤔 #타로라포
-,[스킬 정보 없음] 블록: 수정구슬_다시 (블록 ID: 351755)
39330,(업셀링_결혼본심) 2024년 놓치면 안 될 3번의 기회
30579,🔥영혼의 인연🔥 이때!! 만나게 됩니다!!
37988,[깜짝 타임세일] 일생 풀이: 천운과 타고난 복(福)
39718,그 사람의 행동 예측 (7카드)
39059,내 카톡 프로필을 염탐하는 그사람의 속마음은?
-,[스킬 정보 없음] 블록: 이별애정_1회이상_스스 (블록 ID: 1503131)
32115,나의 진정한 연애가 시작되는 시기는?!
33418,있으면 언제든 필요한 PPT 템플릿 9종 패키지
34938,그사람은 내 생각 하고 있을까요? #상사화 [총 4000자]
27211,그 사람과 사귀게 될까..?
38365,[깜짝 타임세일] 사주로 보는 그 사람의 속마음
