스킬ID,스킬,Target Scope,Target Tags
27706,비로소 만나게 될 나의 운명,"LOVE_SINGLE, LOVE_COUPLE",LOVE_NEW
52621,{{이름}}님의 3번의 결정적 결혼수💍,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MARRIAGE
30282,내 운이 트이는 동네는?(경기도 편),ALL,
16816,이름풀이 - 운명과 주의할 점,"LOVE_SINGLE, LOVE_COUPLE",LOVE_GENERAL
54668,결혼 사주 즉문즉답: 시기・상대・개운・팔자,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MARRIAGE
19390,"2022년의 연애, 언제 어떻게 시작될까?","LOVE_SINGLE, LOVE_COUPLE","LOVE_NEW, NEW_YEAR"
17212,그 사람이 연락을 안 하는 이유,LOVE_SINGLE,"LOVE_MATCH, LOVE_REUNION"
18948,다음 연애 완전 정복 패키지,"LOVE_SINGLE, LOVE_COUPLE",LOVE_REUNION
36042,사주로 보는 그 사람의 '진짜' 속마음🚨,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MATCH
44371,도화살로 보는 연애운 전성기,"LOVE_SINGLE, LOVE_COUPLE",LOVE_NEW
26271,내 인생의 귀인 + 운명의 인연은? [실사판],"LOVE_SINGLE, LOVE_COUPLE",LOVE_GENERAL
41566,2025년 놓치면 안 될 3번의 기회,ALL,NEW_YEAR
25651,도화살 결혼운: 나는 결혼하면 잘 살까?,"LOVE_SINGLE, LOVE_COUPLE","LOVE_MARRIAGE, LOVE_MATCH, LOVE_NEW"
19325,내 인생 + 2022년 3번의 기회,ALL,NEW_YEAR
20182,(추천할인) 내 인생 언제 필까? 3번의 기회,ALL,OVERALL
21667,사주 복록 풀이: 타고난 부동산 복 활용법,"LOVE_SINGLE, LOVE_COUPLE",OVERALL
27326,내 사주의 가장 강한 복은 뭘까?,"LOVE_SINGLE, LOVE_COUPLE",OVERALL
19304,사주로 보는 내 타고난 결혼운(추천 할인),"LOVE_SINGLE, LOVE_COUPLE","LOVE_MARRIAGE, LOVE_NEW"
2236,전연인 어떻게 지낼까,LOVE_SINGLE,LOVE_MATCH
20320,(추천할인) 우리 사귈 수 있을까?: 사귈 확률 계산기,"LOVE_SINGLE, LOVE_COUPLE","LOVE_MATCH, LOVE_NEW"
33559,(사전예약자 전용)2024년 신년운세 보고서,ALL,"NEW_YEAR, OVERALL"
36224,팔자 피는 결혼의 비밀: 연애 개운법,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MARRIAGE
45658,이 사람과 결혼해도 될까?: 결혼 전 필수 궁합,"LOVE_SINGLE, LOVE_COUPLE","LOVE_MARRIAGE, LOVE_MATCH, LOVE_REUNION"
24472,반드시 성공할 사업 분야와 기회는?,ALL,CAREER
23854,2023년 놓치면 안 될 3번의 기회,ALL,NEW_YEAR
43678,[창광] 1개 구매자 추가 할인 (2025년 신년운세 통합본),ALL,"NEW_YEAR, OVERALL"
22327,내 운명 지금 어디 있을까?,"LOVE_SINGLE, LOVE_COUPLE",LOVE_GENERAL
31205,2023년 하반기에 찾아올 3명의 인연,"LOVE_SINGLE, LOVE_COUPLE","LOVE_GENERAL, NEW_YEAR"
16423,오행五行으로 보는 성격 특징,"LOVE_SINGLE, LOVE_COUPLE",
18705,나는 결혼해도 되는 사주일까?,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MARRIAGE
37773,[학부모 필독 사주] 내 아이의 재능과 운명,"LOVE_SINGLE, LOVE_COUPLE","FAMILY, LOVE_GENERAL"
2142,재회확률 높이는 법,LOVE_SINGLE,LOVE_REUNION
24077,[페이드마케팅] 2023년 신년운세 보고서,ALL,"NEW_YEAR, OVERALL"
16223,솔로 탈출 언제 가능할까?,LOVE_SINGLE,LOVE_NEW
2202,사주로 보는 직업운,ALL,CAREER
